IPCA	SELIC	PIB	        EXPC	META	NINDC		
7.62	19.05	1325599.6	4.76	3.5	0.162934505		
7.51	18.97	1335441.4	4.7	3.5	0.163781765		
7.75	18.72	1345582.3	4.94	3.5	0.164371379		
7.98	18.38	1358396.3	4.9	3.5	0.165357607		
7.77	18.37	1370746.6	4.37	3.5	0.166680468		
7.66	18.1	1389221.6	4.57	3.5	0.167030497		
7.51	18.17	1405319.2	5.08	3.5	0.167732025		
7.46	17.84	1420054.7	5.4	3.5	0.169728036		
7.93	17.89	1436491.7	6.28	3.5	0.170831269		
8.45	19.59	1453478.1	8.94	3.5	0.172061254		
10.93	21.25	1471562.8	12.47	3.5	0.174315256		
12.53	23.03	1488787.3	13.24	3.5	0.179579577		
14.47	25.06	1503589.9	11.72	3.25	0.183350748		
15.85	25.68	1523486.4	11.07	3.25	0.18747614		
16.57	26.32	1543732.2	9.9	3.25	0.190419515		
16.77	26.32	1564734.4	9.18	3.25	0.192761675		
17.24	26.31	1580787.7	8.23	3.25	0.194631464		
16.57	26.09	1595356.7	7.08	3.25	0.195818716		
15.43	25.36	1614470.7	6.39	4	0.195524987		
15.07	23.5	1631490.0	6.32	4	0.195916037		
15.14	21.02	1654912.0	6.56	4	0.196582152		
13.98	19.54	1676712.4	6.15	4	0.198115493		
11.02	18.31	1694390.2	5.8	4	0.198690028		
9.3	16.91	1717950.4	5.92	4	0.199365574		
7.71	16.32	1735331.5	6.01	3.75	0.200402275		
6.69	16.3	1746819.2	5.74	3.75	0.201925332		
5.89	16.19	1765492.2	5.54	3.75	0.203157077		
5.26	15.96	1781058.0	5.6	3.75	0.204111915		
5.15	15.77	1800951.1	5.98	3.75	0.204867129		
6.06	15.8	1828299.9	6.33	3.75	0.205911951		
6.81	15.77	1853700.2	6.36	5.5	0.207373926		
7.18	15.86	1878059.7	6.27	5.5	0.209261029		
6.7	16.09	1894202.4	6.24	5.5	0.21070493		
6.86	16.41	1909813.0	6.22	5.5	0.211400256		
7.24	16.96	1933090.2	6.3	5.5	0.212330417		
7.6	17.5	1957751.2	6.08	5.5	0.213795497		
7.41	17.93	1976732.7	5.74	4.5	0.215634138		
7.39	18.47	1994573.0	5.61	4.5	0.216884816		
7.54	18.97	2012678.1	5.67	4.5	0.218164437		
8.07	19.32	2032903.1	5.87	4.5	0.21949524		
8.05	19.61	2050900.9	5.46	4.5	0.221404849		
7.27	19.75	2066440.5	4.85	4.5	0.222489732		
6.57	19.72	2079143.4	4.86	4.5	0.222445234		
6.02	19.75	2097211.0	4.7	4.5	0.223001347		
6.04	19.61	2114047.4	4.74	4.5	0.22338045		
6.36	19.25	2132693.9	4.73	4.5	0.224162281		
6.22	18.87	2150566.8	4.61	4.5	0.225843498		
5.69	18.24	2170584.5	4.46	4.5	0.227085638		
5.7	17.65	2192609.2	4.62	4.5	0.227903146		
5.51	17.28	2210389.8	4.4	4.5	0.229247775		
5.32	16.74	2225144.6	4.31	4.5	0.23018769		
4.63	16.19	2232996.3	4.06	4.5	0.231177497		
4.23	15.7	2253374.0	4.1	4.5	0.23166297		
4.03	15.18	2271564.1	3.98	4.5	0.231894633		
3.97	14.98	2294464.8	4.28	4.5	0.231407654		
3.84	14.66	2317036.2	4.4	4.5	0.231847329		
3.7	14.17	2336552.6	3.93	4.5	0.231963253		
3.26	13.95	2361641.3	4	4.5	0.232450375		
3.02	13.65	2386570.9	4.14	4.5	0.233217462		
3.14	13.19	2409449.9	4.08	4.5	0.233940436		
2.99	13.13	2435015.7	4.03	4.5	0.23506335		
3.02	12.93	2459237.3	3.81	4.5	0.236097629		
2.96	12.74	2486602.5	3.74	4.5	0.237136458		
3.0	12.58	2516700.4	3.47	4.5	0.238013863		
3.18	12.43	2545363.7	3.4	4.5	0.238608898		
3.69	12.03	2575280.3	3.47	4.5	0.239277003		
3.74	11.73	2602129.8	3.55	4.5	0.239946978		
4.18	11.43	2627330.9	3.83	4.5	0.240522851		
4.15	11.22	2649278.5	3.75	4.5	0.241653308		
4.12	11.18	2676946.2	3.71	4.5	0.242088284		
4.19	11.18	2699161.0	3.85	4.5	0.242814549		
4.46	11.18	2720262.9	4.45	4.5	0.243737245		
4.56	11.18	2746380.5	4.44	4.5	0.2455409		
4.61	11.18	2776357.9	4.28	4.5	0.246866821		
4.73	11.18	2800895.2	4.36	4.5	0.248076468		
5.04	11.37	2834561.9	4.56	4.5	0.249267236		
5.58	11.63	2862962.2	5.08	4.5	0.250638205		
6.06	12.09	2899765.6	5.6	4.5	0.252618247		
6.37	12.36	2944038.6	5.49	4.5	0.254487622		
6.17	12.92	2978255.1	5.16	4.5	0.255836407		
6.25	13.39	3020522.3	5.01	4.5	0.256552749		
6.41	13.66	3059105.4	5.4	4.5	0.257219786		
6.39	13.64	3087863.3	5.45	4.5	0.258377275		
5.9	13.66	3109803.1	4.93	4.5	0.259307433		
5.84	13.32	3122486.9	4.7	4.5	0.260033494		
5.9	12.66	3133825.8	4.57	4.5	0.261281654		
5.61	11.7	3153874.9	4.14	4.5	0.262718704		
5.53	11.11	3164637.6	4.21	4.5	0.263244141		
5.2	10.16	3178019.7	4.14	4.5	0.264507713		
4.8	9.54	3187927.3	4.06	4.5	0.265750899		
